iter	Passed	Remaining
473	354	767
474	355	766
475	356	765
476	356	764
477	357	764
478	358	763
479	358	762
480	359	761
481	360	760
482	360	759
483	361	758
484	361	757
485	362	756
486	363	755
487	363	754
488	364	753
489	365	753
490	366	752
491	366	751
492	367	750
493	368	749
494	368	749
495	369	748
496	370	747
497	371	746
498	372	746
499	373	746
500	373	745
501	374	744
502	375	743
503	375	743
504	376	742
505	377	741
506	377	740
507	378	739
508	379	738
509	380	737
510	380	736
511	381	735
512	382	735
513	382	734
514	383	733
515	384	732
516	384	731
517	385	731
518	386	730
519	386	729
520	387	728
521	388	727
522	388	726
523	389	725
524	390	724
525	390	724
526	391	723
527	392	722
528	393	721
529	393	720
530	394	719
531	394	718
532	395	717
533	396	716
534	397	716
535	397	715
536	398	714
537	399	713
538	400	713
539	400	712
540	401	711
541	401	710
542	402	709
543	403	708
544	404	708
545	404	707
546	405	706
547	406	705
548	407	705
549	407	704
550	408	703
551	409	702
552	409	701
553	411	702
554	411	701
555	412	700
556	413	699
557	413	698
558	414	697
559	415	696
560	415	696
561	416	695
562	417	694
563	417	693
564	418	692
565	419	691
566	420	691
567	420	690
568	421	689
569	422	688
570	423	689
571	424	688
572	425	687
573	425	687
574	426	686
575	427	685
576	428	685
577	428	684
578	429	683
579	430	682
580	430	681
581	431	680
582	432	680
583	433	679
584	433	678
585	434	677
586	435	676
587	435	675
588	436	675
589	437	674
590	437	673
591	438	672
592	439	671
593	439	670
594	440	669
595	441	669
596	441	668
597	442	667
598	443	666
599	443	665
600	444	665
601	445	664
602	445	663
603	446	662
604	447	661
605	448	660
606	448	660
607	449	659
608	450	658
609	450	657
610	451	656
611	452	655
612	452	655
613	453	654
614	454	653
615	454	652
616	455	651
617	456	650
618	456	650
619	457	649
620	458	648
621	458	647
622	459	646
623	460	645
624	460	645
625	461	644
626	462	643
627	462	642
628	463	641
629	464	641
630	464	640
631	465	639
632	466	638
633	467	638
634	467	637
635	468	636
636	469	635
637	469	634
638	470	634
639	471	633
640	472	632
641	472	631
642	473	631
643	474	630
644	475	629
645	475	628
646	476	628
647	477	627
648	477	626
649	478	625
650	479	624
651	479	624
652	480	623
653	481	622
654	482	621
655	482	620
656	483	620
657	483	619
658	484	618
659	485	617
660	486	616
661	486	616
662	487	615
663	488	614
664	488	613
665	489	612
666	490	612
667	490	611
668	491	610
669	492	609
670	492	608
671	493	608
672	494	607
673	494	606
674	495	605
675	496	605
676	497	604
677	497	603
678	498	602
679	499	601
680	499	601
681	500	600
682	501	599
683	501	598
684	502	597
685	503	597
686	503	596
687	504	595
688	505	594
689	505	593
690	506	593
691	507	592
692	507	591
693	508	591
694	509	590
695	510	589
696	510	588
697	511	587
698	512	587
699	513	586
700	513	585
701	514	584
702	515	584
703	515	583
704	516	582
705	517	581
706	519	582
707	519	581
708	520	580
709	521	580
710	522	579
711	522	578
712	523	577
713	524	576
714	524	576
715	525	575
716	526	574
717	527	573
718	527	573
719	528	572
720	529	571
721	529	570
722	530	570
723	531	569
724	531	568
725	532	567
726	533	567
727	534	566
728	534	565
729	535	564
730	536	563
731	536	563
732	537	562
733	538	561
734	538	560
735	539	560
736	540	559
737	540	558
738	541	557
739	542	557
740	543	556
741	543	555
742	544	554
743	545	554
744	545	553
745	546	552
746	547	551
747	547	550
748	548	550
749	549	549
750	549	548
751	550	547
752	551	546
753	552	546
754	552	545
755	553	544
756	554	544
757	555	543
758	555	542
759	556	541
760	557	541
761	557	540
762	558	539
763	559	538
764	559	537
765	560	537
766	561	536
767	561	535
768	562	534
769	563	534
770	564	533
771	564	532
772	565	531
773	566	531
774	567	530
775	568	530
776	568	529
777	569	528
778	570	527
779	571	527
780	572	526
781	573	526
782	574	525
783	574	524
784	575	524
785	576	523
786	577	522
787	577	522
788	578	521
789	579	520
790	579	519
791	580	518
792	581	518
793	581	517
794	582	516
795	583	515
796	584	515
797	584	514
798	585	513
799	586	512
800	586	512
801	587	511
802	588	510
803	588	509
804	589	509
805	590	508
806	591	507
807	591	506
808	592	505
809	592	505
810	593	504
811	594	503
812	595	502
813	595	502
814	596	501
815	597	500
816	598	500
817	599	499
818	599	498
819	600	498
820	601	497
821	602	496
822	603	496
823	603	495
824	604	494
825	605	493
826	606	493
827	606	492
828	607	491
829	608	491
830	609	490
831	609	489
832	610	488
833	611	488
834	612	487
835	612	486
836	613	486
837	614	485
838	615	484
839	616	484
840	617	483
841	617	482
842	618	482
843	619	481
844	619	480
845	620	479
846	621	478
847	621	478
848	622	477
849	623	476
850	624	476
851	624	475
852	625	474
853	626	473
854	627	473
855	627	472
856	628	471
857	629	470
858	629	469
859	630	469
860	631	468
861	631	467
862	632	466
863	633	466
864	633	465
865	634	464
866	635	463
867	635	463
868	636	462
869	637	461
870	638	460
871	638	459
872	639	459
873	639	458
874	640	457
875	641	456
876	641	456
877	642	455
878	643	454
879	644	453
880	644	453
881	645	452
882	646	451
883	646	450
884	647	450
885	648	449
886	649	448
887	649	447
888	650	446
889	651	446
890	651	445
891	652	444
892	653	443
893	653	443
894	654	442
895	655	441
896	655	440
897	656	440
898	657	439
899	657	438
900	658	437
901	659	437
902	659	436
903	660	435
904	661	434
905	661	434
906	662	433
907	663	432
908	664	431
909	664	431
910	665	430
911	666	429
912	667	428
913	667	428
914	668	427
915	669	426
916	669	425
917	670	425
918	671	424
919	672	424
920	673	423
921	674	422
922	674	421
923	675	421
924	676	420
925	676	419
926	677	418
927	678	418
928	679	417
929	679	416
930	680	415
931	681	415
932	681	414
933	682	413
934	683	412
935	683	412
936	684	411
937	685	410
938	686	409
939	686	409
940	687	408
941	688	407
942	688	406
943	689	406
944	690	405
945	690	404
946	692	404
947	692	403
948	693	402
949	694	401
950	694	401
951	695	400
952	696	399
953	696	398
954	697	398
955	698	397
956	699	396
957	699	395
958	700	395
959	701	394
960	701	393
961	702	392
962	703	392
963	703	391
964	704	390
965	705	389
966	706	389
967	707	388
968	708	387
969	708	387
970	709	386
971	710	385
972	710	384
973	711	384
974	712	383
975	713	383
976	714	382
977	714	381
978	715	380
979	716	379
980	716	379
981	717	378
982	718	377
983	719	377
984	719	376
985	720	375
986	721	374
987	722	374
988	722	373
989	723	372
990	724	371
991	724	371
992	725	370
993	726	369
994	726	368
995	727	368
996	728	367
997	729	366
998	729	365
999	730	365
1000	731	364
1001	731	363
1002	732	362
1003	733	362
1004	733	361
1005	734	360
1006	735	360
1007	736	359
1008	736	358
1009	737	357
1010	738	357
1011	739	356
1012	740	355
1013	740	355
1014	741	354
1015	742	353
1016	742	352
1017	743	352
1018	744	351
1019	744	350
1020	745	349
1021	746	349
1022	747	348
1023	747	347
1024	748	346
1025	749	346
1026	749	345
1027	750	344
1028	751	343
1029	751	343
1030	752	342
1031	753	341
1032	753	340
1033	754	340
1034	755	339
1035	755	338
1036	756	337
1037	757	337
1038	757	336
1039	758	335
1040	759	334
1041	760	334
1042	761	333
1043	761	332
1044	763	332
1045	763	331
1046	764	330
1047	765	330
1048	765	329
1049	766	328
1050	767	327
1051	768	327
1052	769	326
1053	770	326
1054	771	325
1055	772	324
1056	774	324
1057	775	323
1058	775	323
1059	776	322
1060	777	321
1061	778	320
1062	778	320
1063	779	319
1064	780	318
1065	781	318
1066	782	317
1067	783	316
1068	784	316
1069	785	315
1070	785	314
1071	786	314
1072	787	313
1073	788	312
1074	789	312
1075	790	311
1076	790	310
1077	791	309
1078	792	309
1079	793	308
1080	793	307
1081	794	306
1082	795	306
1083	796	305
1084	797	305
1085	798	304
1086	799	303
1087	799	302
1088	800	302
1089	801	301
1090	802	300
1091	802	299
1092	803	299
1093	804	298
1094	805	297
1095	805	297
1096	806	296
1097	807	295
1098	808	294
1099	809	294
1100	810	293
1101	810	292
1102	811	292
1103	812	291
1104	813	290
1105	814	289
1106	814	289
1107	815	288
1108	816	287
1109	817	287
1110	817	286
1111	818	285
1112	819	284
1113	820	284
1114	820	283
1115	821	282
1116	822	281
1117	822	281
1118	823	280
1119	824	279
1120	825	279
1121	825	278
1122	826	277
1123	827	276
1124	828	276
1125	828	275
1126	829	274
1127	831	274
1128	831	273
1129	832	272
1130	833	271
1131	834	271
1132	834	270
1133	835	269
1134	836	268
1135	837	268
1136	837	267
1137	838	266
1138	839	265
1139	840	265
1140	840	264
1141	841	263
1142	842	263
1143	843	262
1144	843	261
1145	844	260
1146	845	260
1147	846	259
1148	846	258
1149	847	257
1150	848	257
1151	849	256
1152	849	255
1153	850	254
1154	851	254
1155	851	253
1156	852	252
1157	853	252
1158	854	251
1159	855	250
1160	855	249
1161	856	249
1162	857	248
1163	858	247
1164	859	247
1165	859	246
1166	860	245
1167	861	244
1168	862	244
1169	863	243
1170	863	242
1171	865	242
1172	865	241
1173	866	240
1174	867	239
1175	868	239
1176	868	238
1177	869	237
1178	870	236
1179	870	236
1180	871	235
1181	872	234
1182	873	233
1183	873	233
1184	874	232
1185	875	231
1186	876	231
1187	876	230
1188	877	229
1189	878	228
1190	878	228
1191	879	227
1192	880	226
1193	881	225
1194	882	225
1195	883	224
1196	883	223
1197	884	222
1198	885	222
1199	885	221
1200	886	220
1201	887	220
1202	888	219
1203	888	218
1204	889	217
1205	890	217
1206	891	216
1207	891	215
1208	892	214
1209	893	214
1210	894	213
1211	894	212
1212	895	211
1213	896	211
1214	897	210
1215	897	209
1216	898	208
1217	899	208
1218	900	207
1219	901	206
1220	902	206
1221	903	205
1222	903	204
1223	904	203
1224	905	203
1225	906	202
1226	906	201
1227	907	201
1228	908	200
1229	908	199
1230	909	198
1231	910	198
1232	911	197
1233	911	196
1234	912	195
1235	913	195
1236	913	194
1237	914	193
1238	915	192
1239	916	192
1240	917	191
1241	918	190
1242	918	189
1243	919	189
1244	920	188
1245	920	187
1246	921	186
1247	922	186
1248	923	185
1249	923	184
1250	924	183
1251	925	183
1252	925	182
1253	926	181
1254	927	181
1255	927	180
1256	928	179
1257	929	178
1258	930	178
1259	930	177
1260	931	176
1261	932	175
1262	933	175
1263	933	174
1264	934	173
1265	935	172
1266	935	172
1267	936	171
1268	937	170
1269	937	169
1270	938	169
1271	939	168
1272	939	167
1273	940	166
1274	941	166
1275	942	165
1276	942	164
1277	943	163
1278	944	163
1279	944	162
1280	945	161
1281	946	160
1282	946	160
1283	947	159
1284	948	158
1285	949	157
1286	949	157
1287	950	156
1288	951	155
1289	952	155
1290	953	154
1291	954	153
1292	955	152
1293	955	152
1294	956	151
1295	957	150
1296	958	149
1297	958	149
1298	960	148
1299	961	147
1300	962	147
1301	962	146
1302	963	145
1303	964	144
1304	965	144
1305	965	143
1306	966	142
1307	967	141
1308	967	141
1309	968	140
1310	969	139
1311	969	138
1312	970	138
1313	971	137
1314	971	136
1315	972	135
1316	973	135
1317	973	134
1318	974	133
1319	975	132
1320	975	132
1321	976	131
1322	977	130
1323	978	130
1324	978	129
1325	979	128
1326	980	127
1327	980	127
1328	981	126
1329	982	125
1330	982	124
1331	983	124
1332	984	123
1333	984	122
1334	985	121
1335	986	121
1336	987	120
1337	987	119
1338	988	118
1339	989	118
1340	990	117
1341	991	116
1342	991	115
1343	992	115
1344	993	114
1345	993	113
1346	994	112
1347	995	112
1348	995	111
1349	996	110
1350	997	109
1351	997	109
1352	998	108
1353	999	107
1354	999	106
1355	1000	106
1356	1001	105
1357	1002	104
1358	1003	104
1359	1003	103
1360	1004	102
1361	1005	101
1362	1006	101
1363	1007	100
1364	1008	99
1365	1008	98
1366	1009	98
1367	1010	97
1368	1010	96
1369	1011	95
1370	1012	95
1371	1012	94
1372	1013	93
1373	1014	93
1374	1015	92
1375	1015	91
1376	1016	90
1377	1017	90
1378	1017	89
1379	1018	88
1380	1019	87
1381	1019	87
1382	1020	86
1383	1021	85
1384	1021	84
1385	1022	84
1386	1023	83
1387	1023	82
1388	1024	81
1389	1025	81
1390	1025	80
1391	1026	79
1392	1027	78
1393	1027	78
1394	1028	77
1395	1029	76
1396	1029	75
1397	1030	75
1398	1031	74
1399	1031	73
1400	1032	72
1401	1033	72
1402	1034	71
1403	1034	70
1404	1035	70
1405	1036	69
1406	1037	68
1407	1037	67
1408	1038	67
1409	1039	66
1410	1039	65
1411	1040	64
1412	1041	64
1413	1041	63
1414	1042	62
1415	1043	61
1416	1044	61
1417	1044	60
1418	1045	59
1419	1046	58
1420	1046	58
1421	1047	57
1422	1048	56
1423	1049	55
1424	1049	55
1425	1050	54
1426	1051	53
1427	1051	53
1428	1052	52
1429	1053	51
1430	1054	50
1431	1054	50
1432	1055	49
1433	1056	48
1434	1056	47
1435	1057	47
1436	1058	46
1437	1059	45
1438	1059	44
1439	1060	44
1440	1061	43
1441	1061	42
1442	1062	41
1443	1063	41
1444	1064	40
1445	1065	39
1446	1066	39
1447	1066	38
1448	1067	37
1449	1068	36
1450	1068	36
1451	1069	35
1452	1070	34
1453	1071	33
1454	1071	33
1455	1072	32
1456	1073	31
1457	1073	30
1458	1074	30
1459	1075	29
1460	1075	28
1461	1076	27
1462	1077	27
1463	1077	26
1464	1078	25
1465	1079	25
1466	1079	24
1467	1080	23
1468	1081	22
1469	1081	22
1470	1082	21
1471	1083	20
1472	1083	19
1473	1084	19
1474	1085	18
1475	1085	17
1476	1086	16
1477	1087	16
1478	1087	15
1479	1088	14
1480	1089	13
1481	1090	13
1482	1091	12
1483	1091	11
1484	1092	11
1485	1093	10
1486	1093	9
1487	1094	8
1488	1095	8
1489	1095	7
1490	1096	6
1491	1097	5
1492	1098	5
1493	1098	4
1494	1099	3
1495	1100	2
1496	1100	2
1497	1101	1
1498	1102	0
1499	1102	0
