iter	RMSE
153	591830.5034
154	589560.449
155	587363.5943
156	585122.1486
157	582763.3436
158	580828.5476
159	579151.7963
160	577070.3815
161	574730.5116
162	572586.7435
163	570000.8
164	568573.7459
165	566639.0832
166	565046.2386
167	563117.7786
168	561382.9987
169	559740.4795
170	558463.4306
171	556876.3321
172	555182.2037
173	553262.1551
174	551869.6992
175	550197.143
176	548493.8451
177	547055.8063
178	545714.5228
179	543965.5219
180	542719.9528
181	541329.1258
182	539831.3488
183	538359.2666
184	537114.0276
185	535469.3006
186	534240.691
187	533005.015
188	531395.6771
189	530261.1495
190	528846.7984
191	527470.8515
192	526013.9271
193	524568.4445
194	523476.9473
195	521991.4136
196	520721.9939
197	519736.6501
198	518765.087
199	517644.3789
200	516411.5398
201	514962.995
202	513969.0674
203	512218.9439
204	510496.8526
205	509565.1129
206	508635.3693
207	507463.8061
208	506143.9052
209	505205.3064
210	504185.379
211	503108.0966
212	502333.1374
213	501180.9426
214	500168.7302
215	499412.7972
216	498581.5161
217	497435.7567
218	495994.197
219	495033.1635
220	494120.2542
221	493110.4202
222	492261.7364
223	491000.1618
224	490072.3428
225	489314.9101
226	488652.9138
227	487507.8533
228	486584.8041
229	485701.0931
230	484562.0862
231	483631.3655
232	482320.8858
233	481457.4143
234	480524.3159
235	479295.4369
236	478447.3849
237	477741.9498
238	477075.4399
239	476366.1559
240	475139.8109
241	474392.5888
242	473470.7375
243	472754.2333
244	471916.9824
245	471019.5709
246	470158.037
247	469437.965
248	468755.7706
249	468059.9704
250	467006.6417
251	466120.829
252	465603.5153
253	464896.742
254	464132.3721
255	463574.0842
256	462658.7537
257	461864.331
258	461284.6427
259	460566.7339
260	459825.1091
261	459278.4099
262	458584.3087
263	457897.6946
264	457219.123
265	455976.8542
266	455324.8652
267	454643.156
268	453707.5855
269	453193.5242
270	452614.1011
271	452218.6883
272	451394.4546
273	450892.1926
274	450233.3905
275	449683.1456
276	448955.6891
277	448112.4077
278	447512.0059
279	446722.7289
280	446078.7692
281	445532.676
282	445121.8617
283	444718.2443
284	444220.7603
285	443552.3054
286	443101.1404
287	442629.1625
288	441600.6548
289	441130.2718
290	440336.9059
291	439893.7826
292	439310.156
293	438785.102
294	438189.9318
295	437733.2203
296	437239.1864
297	436904.732
298	436304.0939
299	435826.5679
300	435175.24
301	434722.881
302	434062.4829
303	433607.4479
304	433148.9117
305	432503.6639
306	431945.576
307	431361.1836
308	430547.158
309	430294.4778
310	429369.3651
311	429000.0104
312	428385.6195
313	427722.4092
314	427236.8103
315	426589.0234
316	426194.8129
317	425655.9019
318	425097.0717
319	424476.0682
320	423916.5313
321	423290.2773
322	422373.2931
323	421816.299
324	421331.8864
325	420875.2251
326	420297.8274
327	419743.9385
328	418820.6495
329	418335.6834
330	417909.6249
331	417377.3883
332	417035.9206
333	416648.6267
334	416252.8124
335	415935.0862
336	415669.1413
337	415354.2053
338	414884.0162
339	414126.3958
340	413928.5078
341	413490.8954
342	413009.8827
343	412604.9852
344	412251.9614
345	411599.486
346	411112.1935
347	410707.1979
348	410437.5463
349	409771.0964
350	409246.1359
351	408789.2274
352	408438.3754
353	408086.8747
354	407669.2233
355	407274.3625
356	406364.2613
357	405968.7718
358	405241.9826
359	404645.7102
360	404174.3237
361	403665.3662
362	403404.6097
363	402829.8634
364	402476.638
365	402174.7752
366	401763.6587
367	401413.2771
368	400837.3851
369	400287.6781
370	399923.2726
371	399446.5802
372	398912.764
373	398506.6759
374	398227.6946
375	397742.0367
376	397429.9348
377	397146.2477
378	396655.2135
379	396053.562
380	395684.9743
381	395365.114
382	395015.02
383	394668.9594
384	394339.5229
385	394071.6637
386	393673.8147
387	393410.1642
388	393110.4908
389	392918.8861
390	392636.3661
391	392220.9248
392	391855.4073
393	391676.3001
394	391412.6171
395	390916.7291
396	390588.5749
397	390339.834
398	390029.7264
399	389702.3311
400	389154.2634
401	388752.3367
402	388412.0648
403	388075.708
404	387541.9166
405	387094.1461
406	386738.6371
407	386414.3587
408	386080.1944
409	385735.3485
410	385518.894
411	385211.1854
412	384982.4954
413	384659.9231
414	384385.6563
415	384047.6532
416	383725.6516
417	383326.0542
418	383038.9121
419	382759.4192
420	382343.2358
421	382033.0567
422	381731.5783
423	381434.778
424	381101.8372
425	380708.1296
426	380109.4293
427	379764.5588
428	379570.9013
429	379212.9476
430	378903.1915
431	378542.1789
432	378295.6695
433	378031.7938
434	377597.728
435	377250.716
436	376921.8632
437	376529.9637
438	376180.4047
439	375815.6114
440	375315.4896
441	374951.3829
442	374625.5551
443	374264.5645
444	373729.6684
445	373233.7912
446	372740.5591
447	372409.5002
448	372002.0835
449	371785.2661
450	371502.9805
451	371111.5367
452	370775.089
453	370541.4983
454	370349.5176
455	370005.6775
456	369677.5186
457	369483.3165
458	369164.8077
459	368661.7217
460	368351.5954
461	367898.6041
462	367562.07
463	367282.2742
464	366990.2579
465	366560.1696
466	366101.1157
467	365724.9324
468	365340.3479
469	364842.2847
470	364579.6542
471	364229.4233
472	363829.2431
473	363425.5319
474	363035.1132
475	362673.9671
476	362352.5633
477	361981.4339
478	361715.718
479	361250.5838
480	360848.4181
481	360691.7945
482	360417.988
483	360177.0556
484	359732.6437
485	359417.8767
486	358966.9722
487	358600.4019
488	358237.0038
489	357877.0545
490	357572.738
491	357255.7516
492	356984.117
493	356722.993
494	356392.1434
495	356170.5455
496	355996.3142
497	355710.9284
498	355432.1097
499	355033.4931
500	354666.9827
501	354313.2113
502	353951.9138
503	353566.0176
504	353244.6249
505	352982.1192
506	352618.2358
507	352427.3117
508	352087.2454
509	351791.525
510	351479.0033
511	351201.607
512	350885.5249
513	350624.3641
514	350169.9506
515	349816.5143
516	349616.6453
517	349397.59
518	349102.8834
519	348793.6678
520	348557.0244
521	348333.6794
522	348037.145
523	347880.2338
524	347678.3969
525	347341.8996
526	347063.2933
527	346792.6593
528	346402.1481
529	346089.2581
530	345888.2597
531	345553.2241
532	345275.8476
533	345021.5795
534	344856.499
535	344577.9531
536	344390.1888
537	344001.7791
538	343841.3405
539	343490.692
540	343226.1862
541	342835.0073
542	342588.685
543	342166.1183
544	341945.2285
545	341602.4314
546	341241.7391
547	341029.8029
548	340621.7295
549	340248.7084
550	340054.1957
551	339913.3732
552	339599.5096
553	339353.9182
554	339132.7426
555	338904.2382
556	338655.7478
557	338363.2588
558	338090.3368
559	337852.243
560	337595.1543
561	337375.4409
562	337006.8303
563	336683.074
564	336509.3606
565	336340.6532
566	336110.8119
567	335832.0415
568	335677.7632
569	335553.4915
570	335221.5791
571	334976.3316
572	334661.9969
573	334426.6729
574	334087.3014
575	333759.7879
576	333567.1134
577	333255.7881
578	333079.6002
579	332709.7839
580	332330.4471
581	331977.1575
582	331849.9735
583	331578.7212
584	331375.5504
585	331122.8196
586	330863.324
587	330611.2006
588	330361.9993
589	330183.657
590	329899.6708
591	329548.3153
592	329266.0742
593	329037.0438
594	328775.0337
595	328467.423
596	328218.9676
597	327933.5127
598	327723.3907
599	327469.0116
600	327176.8998
601	326938.1184
602	326705.3513
603	326337.8873
604	326104.747
605	325916.9227
606	325751.7309
607	325522.6493
608	325260.667
609	325042.9799
610	324932.8431
611	324646.5681
612	324405.4761
613	324100.2744
614	323919.4429
615	323607.7267
616	323372.9881
617	323126.677
618	322793.5631
619	322570.563
620	322352.1538
621	322128.7799
622	321914.8881
623	321752.9833
624	321627.851
625	321492.6639
626	321324.4335
627	321126.6551
628	321036.6876
629	320823.59
630	320582.0329
631	320284.6546
632	319968.81
633	319757.305
634	319586.0559
635	319438.7566
636	319206.3926
637	318924.7831
638	318705.239
639	318452.9985
640	318241.0711
641	317990.0213
642	317785.7829
643	317553.3935
644	317265.6517
645	316982.5088
646	316822.7402
647	316542.0039
648	316334.072
649	316114.5135
650	315867.5552
651	315606.8249
652	315312.2023
653	315067.0147
654	314834.5402
655	314712.3786
656	314462.4339
657	314345.2821
658	314122.3751
659	313925.3137
660	313739.749
661	313546.0036
662	313264.1153
663	313122.0152
664	312914.5768
665	312753.4624
666	312534.5399
667	312319.1793
668	312128.2148
669	311853.4502
670	311644.6183
671	311330.9926
672	311108.3939
673	310842.1866
674	310600.5204
675	310283.8255
676	310047.9757
677	309746.8662
678	309512.8594
679	309209.5307
680	308982.6089
681	308774.6144
682	308521.1296
683	308339.701
684	308069.117
685	307839.1742
686	307592.1102
687	307308.1457
688	307139.3853
689	306930.2998
690	306669.8305
691	306509.1996
692	306410.3089
693	306163.3674
694	305989.3326
695	305737.4773
696	305567.7264
697	305303.0796
698	305086.4011
699	305001.3608
700	304722.2153
701	304499.5739
702	304298.3117
703	304050.0718
704	303794.1515
705	303517.3588
706	303319.2344
707	303093.1283
708	302942.8828
709	302692.6701
710	302587.0632
711	302344.4172
712	302180.0331
713	301931.8436
714	301814.6588
715	301657.7869
716	301410.3108
717	301212.2021
718	301028.4242
719	300848.6164
720	300659.8368
721	300452.9787
722	300314.7792
723	300111.7958
724	299954.6824
725	299734.244
726	299511.3683
727	299320.365
728	299133.0096
729	298893.7639
730	298771.7583
731	298573.493
732	298424.822
733	298244.4041
734	298108.6131
735	297893.4411
736	297658.1171
737	297590.6888
738	297391.0446
739	297267.3694
740	297069.9294
741	296816.451
742	296575.5561
743	296434.774
744	296274.1009
745	296130.8997
746	295907.164
747	295672.5199
748	295533.3365
749	295252.4294
750	295137.4981
751	294941.1987
752	294747.134
753	294588.3949
754	294377.4931
755	294224.0248
756	293964.4578
757	293741.2881
758	293571.6995
759	293365.2859
760	293114.7808
761	292892.7619
762	292742.8324
763	292656.6007
764	292459.9577
765	292267.801
766	292068.8932
767	291850.6236
768	291657.072
769	291537.8169
770	291356.7404
771	291199.9655
772	291029.9816
773	290837.546
774	290717.5108
775	290534.1725
776	290379.7712
777	290167.5913
778	289958.2946
779	289749.4852
780	289605.6415
781	289478.4956
782	289313.5504
783	289127.5964
784	288953.407
785	288782.5998
786	288598.029
787	288422.6462
788	288231.7491
789	288004.0977
790	287896.8017
791	287700.9686
792	287551.4158
793	287365.7427
794	287184.5711
795	287051.7419
796	286918.7141
797	286721.0471
798	286606.1139
799	286387.4968
800	286224.5715
801	286039.0271
802	285822.4103
803	285667.1764
804	285461.1314
805	285211.294
806	285049.146
807	284868.2673
808	284681.922
809	284549.4494
810	284396.4014
811	284283.0974
812	284162.0322
813	283958.206
814	283763.1479
815	283488.8034
816	283354.2396
817	283261.6121
818	283150.3082
819	282965.4595
820	282821.5954
821	282677.5841
822	282541.9592
823	282375.7313
824	282271.1639
825	282208.4835
826	282025.97
827	281790.3104
828	281679.6221
829	281519.7191
830	281256.669
831	281074.0126
832	280885.258
833	280797.8624
834	280641.4393
835	280413.4635
836	280217.2998
837	280044.5752
838	279825.6029
839	279751.1069
840	279546.5569
841	279414.9881
842	279271.3355
843	279124.0266
844	278934.5847
845	278763.7335
846	278588.8191
847	278506.372
848	278293.5333
849	278087.8741
850	277851.714
851	277679.116
852	277565.4645
853	277374.9728
854	277302.1651
855	277191.0889
856	277008.7573
857	276873.8852
858	276706.3522
859	276525.9657
860	276364.6197
861	276177.2455
862	276036.8156
863	275896.904
864	275737.6858
865	275631.3299
866	275474.218
867	275280.7902
868	275063.5138
869	274909.7961
870	274834.076
871	274712.3358
872	274560.0638
873	274364.36
874	274222.6112
875	273996.5029
876	273885.4275
877	273718.5202
878	273592.8845
879	273430.2997
880	273319.8722
881	273179.485
882	273037.6367
883	272843.8063
884	272712.7326
885	272597.5438
886	272442.9247
887	272384.5262
888	272230.2353
889	272103.1057
890	271958.8617
891	271857.9173
892	271693.1959
893	271476.681
894	271272.3083
895	271119.2167
896	270992.3182
897	270818.8916
898	270709.308
899	270551.0075
900	270394.4422
901	270221.8831
902	270081.345
903	269960.4261
904	269747.1114
905	269624.2197
906	269469.8428
907	269296.0887
908	269185.3167
909	269051.2913
910	268923.5081
911	268715.7236
912	268567.27
913	268410.5883
914	268213.901
915	268043.63
916	267925.6711
917	267747.1371
918	267567.2112
919	267396.0179
920	267288.6663
921	267121.9886
922	267032.817
923	266866.4503
924	266748.8659
925	266649.4783
926	266533.6425
927	266441.0777
928	266329.2563
929	266197.3293
930	266104.0263
931	265948.5347
932	265757.546
933	265693.067
934	265536.3436
935	265399.8177
936	265247.5449
937	265104.7956
938	264957.1354
939	264823.4787
940	264644.7857
941	264456.7463
942	264297.9269
943	264121.6797
944	263992.0539
945	263863.6868
946	263679.1675
947	263474.0374
948	263325.372
949	263183.409
950	263004.9619
951	262898.5955
952	262744.9989
953	262564.0281
954	262409.5026
955	262233.0267
956	262095.2898
957	261980.4445
958	261762.266
959	261607.4352
960	261431.7119
961	261292.0081
962	261083.7983
963	260929.386
964	260748.8532
965	260577.2016
966	260386.7169
967	260192.386
968	260009.2358
969	259880.5409
970	259743.5686
971	259515.6497
972	259300.151
973	259171.8397
974	259053.1718
975	258934.8882
976	258807.955
977	258681.459
978	258559.3325
979	258414.2876
980	258265.8992
981	258099.4604
982	258021.0348
983	257871.6896
984	257686.8966
985	257544.4161
986	257427.8429
987	257293.6572
988	257173.1175
989	257019.1271
990	256853.8544
991	256762.6508
992	256562.0354
993	256402.6597
994	256284.7507
995	256181.189
996	256021.9221
997	255881.3783
998	255690.4813
999	255561.2935
1000	255448.2693
1001	255287.5962
1002	255109.5921
1003	254955.8446
1004	254864.7307
1005	254752.7113
1006	254644.019
1007	254529.9661
1008	254385.9329
1009	254258.3851
1010	254138.4448
1011	254009.5144
1012	253926.197
1013	253804.0818
1014	253712.1596
1015	253566.3498
1016	253445.1298
1017	253326.2153
1018	253238.121
1019	253100.8895
1020	253018.3991
1021	252875.1934
1022	252752.9033
1023	252646.2002
1024	252520.7206
1025	252437.1543
1026	252187.3944
1027	252049.9397
1028	251927.8671
1029	251805.858
1030	251710.8969
1031	251607.4001
1032	251484.4864
1033	251369.2957
1034	251133.0963
1035	251062.8795
1036	250908.7904
1037	250770.6221
1038	250694.3044
1039	250566.3521
1040	250486.2351
1041	250354.6052
1042	250185.6332
1043	250069.7262
1044	249934.4812
1045	249862.685
1046	249817.1699
1047	249664.2043
1048	249580.4997
1049	249486.0668
1050	249405.1041
1051	249337.6795
1052	249217.2767
1053	249154.593
1054	249058.8463
1055	248926.7728
1056	248838.3775
1057	248718.5114
1058	248610.5656
1059	248526.0538
1060	248407.7993
1061	248275.8337
1062	248089.3739
1063	247954.9893
1064	247858.2011
1065	247694.5109
1066	247583.1307
1067	247478.28
1068	247388.3243
1069	247275.9953
1070	247136.8186
1071	247037.6823
1072	246965.7465
1073	246876.064
1074	246780.0213
1075	246635.6825
1076	246441.054
1077	246336.1483
1078	246239.0991
1079	246143.9117
1080	246008.044
1081	245867.8163
1082	245759.5035
1083	245597.5742
1084	245504.7808
1085	245385.0775
1086	245253.7792
1087	245159.0207
1088	245073.4531
1089	244994.9527
1090	244900.9596
1091	244766.9124
1092	244670.498
1093	244534.3629
1094	244390.3046
1095	244264.334
1096	244211.7899
1097	244081.5917
1098	243972.5242
1099	243845.1935
1100	243716.6655
1101	243543.6023
1102	243459.1752
1103	243313.8427
1104	243212.1356
1105	243122.4473
1106	242967.8381
1107	242796.899
1108	242653.5463
1109	242540.9491
1110	242343.7205
1111	242243.8335
1112	242196.3105
1113	242083.0628
1114	241912.6432
1115	241775.3229
1116	241685.5812
1117	241572.7172
1118	241438.6715
1119	241318.6851
1120	241194.0351
1121	241072.742
1122	240968.108
1123	240884.4144
1124	240791.354
1125	240632.2767
1126	240512.7834
1127	240366.0478
1128	240246.9725
1129	240126.9637
1130	240048.3659
1131	239969.1073
1132	239846.9845
1133	239717.2375
1134	239551.426
1135	239413.4705
1136	239327.7824
1137	239257.5992
1138	239162.8594
1139	239068.9656
1140	238950.866
1141	238872.4913
1142	238708.9682
1143	238566.2796
1144	238520.1362
1145	238361.8142
1146	238288.9398
1147	238147.0756
1148	238015.5046
1149	237916.9308
1150	237859.1839
1151	237716.6319
1152	237574.717
1153	237458.6203
1154	237354.5772
1155	237233.5242
1156	237180.781
1157	237069.958
1158	236972.2891
1159	236809.0478
1160	236676.0149
1161	236499.0249
1162	236451.0021
1163	236351.9805
1164	236317.0022
1165	236177.6468
1166	236084.505
1167	235996.2322
1168	235904.96
1169	235766.93
1170	235612.2164
1171	235478.3193
1172	235341.876
1173	235247.4424
1174	235128.378
1175	234998.6829
1176	234865.007
1177	234684.5846
1178	234559.3882
1179	234467.3827
1180	234312.6849
1181	234232.1831
1182	234075.5675
1183	233942.7649
1184	233864.9359
1185	233757.6298
1186	233661.752
1187	233558.0001
1188	233425.7238
1189	233295.8836
1190	233188.287
1191	233036.9429
1192	232929.1363
1193	232866.707
1194	232744.4124
1195	232616.0504
1196	232522.1352
1197	232475.6038
1198	232354.3853
1199	232251.5682
1200	232150.4672
1201	231979.4299
1202	231867.2846
1203	231736.5052
1204	231626.4101
1205	231500.8884
1206	231417.365
1207	231263.8355
1208	231171.0033
1209	231063.7927
1210	230948.8805
1211	230887.4573
1212	230761.3354
1213	230677.937
1214	230584.8089
1215	230445.2312
1216	230358.6406
1217	230283.9584
1218	230131.7034
1219	229996.4622
1220	229939.924
1221	229872.3648
1222	229760.0819
1223	229656.8116
1224	229557.4026
1225	229426.4447
1226	229337.1268
1227	229233.0368
1228	229157.4826
1229	229065.6523
1230	228961.1949
1231	228841.1967
1232	228730.9861
1233	228619.088
1234	228454.3211
1235	228333.3531
1236	228283.271
1237	228169.019
1238	228065.8005
1239	227993.1743
1240	227868.604
1241	227803.2541
1242	227727.7051
1243	227706.4424
1244	227636.7149
1245	227555.8625
1246	227421.7958
1247	227306.8968
1248	227199.8491
1249	227103.6962
1250	226978.5125
1251	226852.0968
1252	226748.1091
1253	226656.8653
1254	226543.3834
1255	226399.8447
1256	226242.1316
1257	226157.2254
1258	226047.4868
1259	225950.9767
1260	225839.5941
1261	225696.3384
1262	225613.2116
1263	225485.268
1264	225419.7206
1265	225337.8879
1266	225241.7055
1267	225158.4168
1268	225000.7768
1269	224868.6314
1270	224733.2704
1271	224657.1643
1272	224592.1783
1273	224542.7565
1274	224461.8787
1275	224362.9346
1276	224271.0676
1277	224129.7141
1278	224094.7524
1279	223993.9544
1280	223876.7762
1281	223737.0082
1282	223599.0496
1283	223445.103
1284	223399.9481
1285	223379.9381
1286	223309.0249
1287	223232.1208
1288	223116.8329
1289	222976.5924
1290	222897.8729
1291	222770.246
1292	222695.9486
1293	222622.4978
1294	222530.3324
1295	222456.2231
1296	222362.178
1297	222316.6211
1298	222187.1177
1299	222098.765
1300	221961.7843
1301	221838.8775
1302	221725.6785
1303	221595.2659
1304	221490.6626
1305	221413.1037
1306	221302.9676
1307	221200.6246
1308	221085.354
1309	220995.3076
1310	220908.5766
1311	220802.3832
1312	220660.9779
1313	220593.6945
1314	220486.3073
1315	220345.1815
1316	220265.8006
1317	220151.5421
1318	220042.3795
1319	219908.7661
1320	219821.2127
1321	219689.1525
1322	219559.44
1323	219444.6849
1324	219354.8674
1325	219244.9398
1326	219195.6744
1327	219079.4205
1328	219000.6314
1329	218878.1213
1330	218767.1149
1331	218657.8219
1332	218566.8443
1333	218419.097
1334	218305.8248
1335	218237.4904
1336	218140.6976
1337	218073.8166
1338	217952.3653
1339	217872.9158
1340	217791.9088
1341	217713.1502
1342	217653.6431
1343	217574.615
1344	217564.4146
1345	217490.2791
1346	217401.3501
1347	217370.9501
1348	217299.8224
1349	217251.6504
1350	217150.1905
1351	217025.8057
1352	216896.5126
1353	216858.5856
1354	216748.5437
1355	216671.0238
1356	216558.7219
1357	216436.3334
1358	216318.082
1359	216243.8738
1360	216123.966
1361	216058.8766
1362	215935.0959
1363	215853.8993
1364	215777.6974
1365	215665.3477
1366	215552.8436
1367	215450.5301
1368	215351.422
1369	215259.8445
1370	215174.0051
1371	215066.1546
1372	214988.6018
1373	214928.9446
1374	214842.4704
1375	214701.8365
1376	214613.3242
1377	214552.7181
1378	214474.7165
1379	214379.0926
1380	214246.5519
1381	214177.2301
1382	214087.2046
1383	214007.676
1384	213911.3982
1385	213822.8244
1386	213730.4805
1387	213627.7929
1388	213538.1972
1389	213457.3697
1390	213400.4261
1391	213311.6035
1392	213198.9541
1393	213082.9596
1394	213031.3744
1395	212924.9911
1396	212832.6653
1397	212707.1631
1398	212581.042
1399	212465.9605
1400	212373.6787
1401	212296.322
1402	212212.3175
1403	212137.5973
1404	211996.761
1405	211853.9668
1406	211798.6702
1407	211713.0571
1408	211609.1829
1409	211551.8801
1410	211447.7221
1411	211338.6282
1412	211282.3358
1413	211250.4664
1414	211162.6465
1415	211055.6459
1416	211002.6889
1417	210934.2347
1418	210824.6149
1419	210759.3181
1420	210671.6025
1421	210599.9864
1422	210488.5213
1423	210383.5337
1424	210270.7481
1425	210158.3159
1426	210070.1689
1427	209984.1551
1428	209873.4581
1429	209817.2168
1430	209693.5601
1431	209625.4325
1432	209547.5612
1433	209487.5254
1434	209361.3082
1435	209298.0464
1436	209233.9872
1437	209130.9799
1438	209055.5865
1439	208939.9794
1440	208861.4949
1441	208791.701
1442	208737.4255
1443	208649.5531
1444	208542.067
1445	208408.6881
1446	208391.72
1447	208311.6567
1448	208282.4073
1449	208224.8003
1450	208162.1162
1451	208100.1456
1452	208017.9073
1453	207890.3585
1454	207807.3735
1455	207664.4137
1456	207566.5176
1457	207486.0642
1458	207350.2358
1459	207253.6067
1460	207118.8967
1461	207059.2943
1462	206957.7905
1463	206824.8558
1464	206743.7714
1465	206688.7232
1466	206603.334
1467	206509.0797
1468	206356.3309
1469	206272.0931
1470	206162.0421
1471	206059.3046
1472	205995.1672
1473	205899.3833
1474	205817.9322
1475	205772.6229
1476	205701.468
1477	205634.1702
1478	205528.4629
1479	205478.5808
1480	205359.7381
1481	205263.79
1482	205120.1667
1483	205046.1797
1484	204900.8152
1485	204803.7856
1486	204729.9156
1487	204618.2995
1488	204527.3022
1489	204432.2463
1490	204361.7362
1491	204274.692
1492	204225.817
1493	204128.5528
1494	204073.1074
1495	203992.9039
1496	203888.6639
1497	203859.9365
1498	203780.6949
1499	203725.2764
1500	203611.5637
1501	203517.7194
1502	203435.5572
1503	203308.543
1504	203285.4769
1505	203182.1916
1506	203119.3285
1507	203060.2971
1508	202965.6562
1509	202943.53
1510	202841.6756
1511	202765.7408
1512	202632.7376
1513	202508.7637
1514	202492.5281
1515	202397.2579
1516	202367.963
1517	202270.7524
1518	202178.0786
1519	202106.3142
1520	201990.711
1521	201915.3173
1522	201886.6237
1523	201782.4523
1524	201669.8056
1525	201600.1321
1526	201505.8807
1527	201424.2945
1528	201365.5233
1529	201301.7875
1530	201250.1928
1531	201178.9015
1532	201062.7664
1533	200965.4267
1534	200905.7107
1535	200873.4842
1536	200819.4922
1537	200717.5332
1538	200603.1855
1539	200553.3335
1540	200466.6633
1541	200362.5272
1542	200291.9707
1543	200196.7044
1544	200120.3595
1545	200072.9546
1546	199994.4802
1547	199912.3933
1548	199836.8398
1549	199756.4544
1550	199631.9309
1551	199533.0046
1552	199514.3384
1553	199462.2903
1554	199407.6625
1555	199315.606
1556	199208.1547
1557	199112.5398
1558	199026.9458
1559	198967.9838
1560	198865.6295
1561	198821.6924
1562	198710.5757
1563	198665.4221
1564	198553.1828
1565	198427.3751
1566	198354.752
1567	198230.144
1568	198133.2379
1569	198076.3921
1570	198021.0308
1571	197933.7541
1572	197829.2213
1573	197783.095
1574	197682.8015
1575	197630.1637
1576	197554.5852
1577	197472.0621
1578	197364.236
1579	197275.6057
1580	197185.4703
1581	197132.2842
1582	197026.9653
1583	196907.3775
1584	196772.8806
1585	196708.7052
1586	196656.6271
1587	196565.3798
1588	196459.458
1589	196377.4117
1590	196304.7296
1591	196224.9038
1592	196168.6103
1593	196079.6136
1594	196012.9984
1595	195899.3784
1596	195817.3519
1597	195735.1002
1598	195691.779
1599	195670.2362
1600	195579.8907
1601	195462.9535
1602	195333.933
1603	195256.9079
1604	195166.3774
1605	195053.1682
1606	195002.1792
1607	194921.6098
1608	194827.8563
1609	194719.0168
1610	194563.0645
1611	194470.5232
1612	194382.6106
1613	194282.8536
1614	194197.1613
1615	194035.8657
1616	193961.4795
1617	193803.2927
1618	193730.8407
1619	193672.5972
1620	193579.7686
1621	193490.3748
1622	193395.1244
1623	193340.2122
1624	193243.7845
1625	193156.3187
1626	193064.3197
1627	193021.3833
1628	192943.8582
1629	192854.0629
1630	192776.9387
1631	192707.1363
1632	192641.7239
1633	192540.1058
1634	192454.0609
1635	192405.4476
1636	192330.848
1637	192255.8334
1638	192199.6393
1639	192133.1946
1640	192016.3786
1641	191962.8455
1642	191861.9893
1643	191774.387
1644	191659.2342
1645	191568.0115
1646	191480.693
1647	191384.2929
1648	191303.6866
1649	191188.3894
1650	191115.0232
1651	191033.101
1652	190943.3377
1653	190837.1251
1654	190723.5882
1655	190674.8829
1656	190584.4844
1657	190502.4076
1658	190395.4659
1659	190298.435
1660	190217.8876
1661	190112.6974
1662	190046.9657
1663	189943.2659
1664	189862.1587
1665	189722.1917
1666	189646.227
1667	189621.0906
1668	189506.1847
1669	189434.0478
1670	189340.354
1671	189269.1716
1672	189156.7675
1673	189063.094
1674	188963.771
1675	188915.839
1676	188858.8753
1677	188815.2689
1678	188734.8456
1679	188662.2127
1680	188599.6967
1681	188545.6964
1682	188458.7378
1683	188360.4966
1684	188291.0974
1685	188231.0884
1686	188160.539
1687	188143.3415
